schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,corr_ans,cong_code,congruency,cue_file,action1,action2,action3,target_file
throw,adults,ball,office_19,wm_39,american_ball,other_schema,01-02_01_01_155,NaN,office,indoor,left,6,con,stim/01-02_01_01_155_Slide-01.png,stim/01-02_01_01_155_Slide-02.png,stim/01-02_01_01_155_Slide-03.png,stim/01-02_01_01_155_Slide-04.png,stim/01-02_01_01_155_Slide-06.png
throw,adults,ball,office_17,ww_39,volley_ball,action,01-02_01_01_153,NaN,office,indoor,left,6,con,stim/01-02_01_01_153_Slide-01.png,stim/01-02_01_01_153_Slide-02.png,stim/01-02_01_01_153_Slide-03.png,stim/01-02_01_01_153_Slide-04.png,stim/01-02_01_01_153_Slide-06.png
serve,parents,food,living_9,ww_30,donut,action,02-01_01_01_81,NaN,living,indoor,right,8,inc,stim/02-01_01_01_81_Slide-09.png,stim/02-01_01_01_81_Slide-10.png,stim/02-01_01_01_81_Slide-11.png,stim/02-01_01_01_81_Slide-12.png,stim/02-01_01_01_81_Slide-16.png
throw,parents,ball,office_3,wm_7,american_ball,context,01-01_01_01_27,NaN,office,indoor,right,5,neu,stim/01-01_01_01_27_Slide-01.png,stim/01-01_01_01_27_Slide-02.png,stim/01-01_01_01_27_Slide-03.png,stim/01-01_01_01_27_Slide-04.png,stim/01-01_01_01_27_Slide-05.png
throw,parents,ball,office_4,wm_8,beach_ball,action,01-01_01_01_28,NaN,office,indoor,right,8,inc,stim/01-01_01_01_28_Slide-01.png,stim/01-01_01_01_28_Slide-02.png,stim/01-01_01_01_28_Slide-03.png,stim/01-01_01_01_28_Slide-04.png,stim/01-01_01_01_28_Slide-08.png
throw,parents,ball,office_8,mm_8,american_ball,unrelated,01-01_01_01_32,NaN,office,indoor,left,6,con,stim/01-01_01_01_32_Slide-01.png,stim/01-01_01_01_32_Slide-02.png,stim/01-01_01_01_32_Slide-03.png,stim/01-01_01_01_32_Slide-04.png,stim/01-01_01_01_32_Slide-06.png
serve,adults,drinks,office_2,ww_54,soda,other_schema,02-02_02_01_26,NaN,office,indoor,right,5,neu,stim/02-02_02_01_26_Slide-09.png,stim/02-02_02_01_26_Slide-10.png,stim/02-02_02_01_26_Slide-11.png,stim/02-02_02_01_26_Slide-12.png,stim/02-02_02_01_26_Slide-13.png
throw,parents,ball,living_8,mm_6,red_ball,unrelated,01-01_01_01_24,NaN,living,indoor,right,5,neu,stim/01-01_01_01_24_Slide-01.png,stim/01-01_01_01_24_Slide-02.png,stim/01-01_01_01_24_Slide-03.png,stim/01-01_01_01_24_Slide-04.png,stim/01-01_01_01_24_Slide-05.png
throw,adults,ball,office_20,wm_40,beach_ball,unrelated,01-02_01_01_156,NaN,office,indoor,right,8,inc,stim/01-02_01_01_156_Slide-01.png,stim/01-02_01_01_156_Slide-02.png,stim/01-02_01_01_156_Slide-03.png,stim/01-02_01_01_156_Slide-04.png,stim/01-02_01_01_156_Slide-08.png
